CNPJ,IbovCorrelation,SELICCorrelation,flowCorrelation,avgTicketCorrelation,vol,resultKmeans,DENOM_SOCIAL
30.351.337/0001-04,0.3081453969628495,-0.9146781952883348,-0.1120995612794053,-0.7597603554603525,0.07679710789951577,4,
33.150.783/0001-49,0.02221696059302914,-0.9266168821767664,-0.13305187070707447,-0.6912742289696362,0.052484136083557766,0,
22.672.424/0001-35,0.780957041529271,-0.796949917837994,-0.026721238019139674,-0.9302892580076072,0.1224718186035991,4,LESTE CREDIT FUNDO DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO INVESTIMENTO NO EXTERIOR
11.182.072/0001-13,0.6696729563118451,-0.7348188409165123,0.07199434223628268,-0.7461589237993255,0.3359999777450387,4,LOGOS TOTAL RETURN FI EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO
30.553.981/0001-65,0.5232142275563177,-0.9080067420796304,0.020924324631760763,0.6997166672925216,0.22502545410386998,3,
18.323.970/0001-93,0.6191881130536899,-0.6645258673497018,-0.02585417196723563,-0.8570081280228207,0.2985076489186897,4,M SQUARE GLOBAL EQUITY MANAGERS INSTITUCIONAL FIC DE FI MULTIMERCADO INVESTIMENTO NO EXTERIOR
32.397.723/0001-62,0.0774450732129613,-0.7279133146961756,0.06247726202333405,-0.9039120532421108,0.11679474485261905,4,
18.048.639/0001-02,0.6329058307975952,-0.8808468352652671,-0.031216788615964424,-0.6866836675865282,0.07881634074197533,4,MAUÁ INSTITUCIONAL FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO
05.903.038/0001-98,-0.6881903490055451,-0.09668893735267928,0.04440082557450476,-0.4809010642009313,0.07317934098090101,2,MAUÁ MACRO FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO
30.665.589/0001-08,0.3896289898212601,-0.9107963829178312,-0.07542234652379506,-0.8718207665047604,0.11603899992608672,4,
30.773.649/0001-06,0.5893023812017183,-0.9086735471256658,-0.14835374701835274,0.8205003862659644,0.11626242848988105,3,
31.875.299/0001-51,0.05699252413396678,-0.9109751657775724,-0.06815660651807984,0.5059782973310811,0.08898409712831352,3,
24.140.256/0001-62,0.4625930591544188,-0.7933680841282091,0.481613767151047,-0.5244355836007386,0.11285642553590827,4,MOAT CAPITAL EQUITY HEDGE FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO
17.489.083/0001-27,0.40366238907782737,0.20004014290978325,0.0004398307690215334,-0.5373541874218691,0.11614489266937515,1,
29.762.338/0001-62,0.3912345018458216,-0.9176412793264036,-0.061356077719587135,-0.1001433215592639,0.04800335186267553,0,
29.762.329/0001-71,0.4535687560659441,-0.9187137684273358,-0.045278977144275985,-0.8341797073713245,0.04825798551384786,4,
26.680.221/0001-41,0.6275225855220817,-0.7521631124011414,0.02130927046922135,0.7724996745884369,0.22506748793492967,3,NAVI LONG BIASED FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTOS MULTIMERCADO
12.430.199/0001-77,0.636702871930286,-0.695206134504745,1.6018818430596326e-05,-0.591178584303413,0.10948971443891747,4,NAVI LONG SHORT FUNDO DE INVESTIMENTO EM COTAS DE FUNDO DE INVESTIMENTO MULTIMERCADO
08.771.538/0001-01,0.5215147457962703,-0.1463055725606168,-0.005143734870363412,-0.7445963036829456,0.09002277645332311,4,NEO MULTI ESTRATÉGIA 30 FEEDER FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO
08.817.499/0001-36,-0.7094884058756401,0.6081826018523466,-0.004831741382659312,-0.9033026377261912,0.10539152980980064,2,NIRVANA FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO
14.146.726/0001-41,-0.6038250415568458,-0.3079383066983202,0.03525836771548523,-0.5388810741056368,0.0871725599697726,0,NOVUS MACRO FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO
11.403.956/0001-50,0.583911774809307,-0.7241730865417219,0.12221921600141808,-0.7815823344853815,0.09890471026239288,4,OCCAM EQUITY HEDGE FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO
17.162.002/0001-80,0.6067698217731369,-0.7149730981817537,0.2068953889312896,-0.6980313919954109,0.13942886613466313,4,OCCAM RETORNO ABSOLUTO FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO
33.401.080/0001-46,0.0024520352851087625,0.9456790731764444,-0.16448446161477245,-0.4160123687343423,0.07108373996007053,1,
